300	266
47	47	47
42	42	40
41	40	35
47	48	42
54	54	52
57	59	56
57	59	54
57	60	53
57	56	54
58	57	55
56	56	54
56	56	54
54	55	50
55	55	53
57	56	54
56	54	55
53	53	51
54	54	52
54	54	52
55	55	53
56	56	54
55	55	53
55	55	53
56	56	54
56	56	56
57	57	55
60	60	58
60	59	57
60	59	57
60	60	60
60	60	58
60	59	57
58	58	56
60	61	56
62	62	60
60	60	58
59	59	59
58	58	56
59	60	55
57	58	53
61	62	56
61	62	57
60	60	58
59	59	57
56	58	53
56	58	53
57	58	53
59	58	56
59	60	55
58	59	54
58	58	56
57	59	56
58	59	54
59	58	54
57	56	52
53	54	49
49	50	45
48	49	44
47	48	43
47	48	43
47	47	45
47	47	47
47	49	46
48	50	47
49	51	48
49	49	47
49	49	47
48	48	46
47	47	45
49	49	47
47	49	46
46	48	45
48	48	46
49	49	47
49	50	45
49	50	45
49	49	47
49	49	47
50	51	46
50	51	45
50	51	45
50	51	46
50	49	47
50	49	47
52	51	47
53	52	47
50	51	45
50	51	46
51	53	48
55	54	49
53	52	48
53	54	49
44	49	45
52	54	33
62	69	35
42	55	27
94	82	22
158	114	19
161	123	14
134	109	16
138	106	19
177	137	15
182	144	17
188	150	17
189	149	17
153	128	12
174	142	21
202	164	21
203	165	18
193	155	18
195	158	18
206	172	23
209	179	23
177	162	17
83	122	33
48	113	55
79	132	50
86	133	39
63	128	46
38	125	57
22	122	68
17	124	68
16	125	70
16	128	72
15	130	73
17	129	73
30	129	72
40	135	67
64	138	59
89	143	55
119	149	49
147	157	44
170	166	41
188	176	40
203	186	38
212	191	36
218	193	39
220	196	38
222	198	36
219	200	36
218	198	37
217	197	36
214	196	38
207	193	35
202	192	32
199	190	33
194	188	32
190	185	31
184	183	30
183	183	33
183	183	35
183	182	32
184	183	30
185	183	36
190	184	38
191	185	35
191	186	30
191	188	31
195	190	34
204	191	35
206	194	32
211	197	38
217	199	39
218	199	35
224	202	38
224	202	38
225	203	39
225	204	37
225	201	39
218	201	36
215	196	40
211	190	39
200	183	35
186	174	36
165	166	36
147	156	39
121	147	48
91	142	50
67	141	64
43	138	70
30	136	74
18	136	76
15	132	77
15	132	79
16	129	73
15	129	70
24	132	72
26	131	65
28	130	65
59	133	58
104	143	36
141	152	22
174	168	22
136	147	25
47	116	49
28	119	62
105	135	35
197	169	23
214	178	20
204	167	17
153	134	16
144	127	19
194	159	15
210	166	17
193	154	15
120	116	19
42	95	43
14	92	53
17	87	50
28	89	48
110	119	36
143	126	22
56	85	31
26	85	55
28	87	65
27	86	66
31	84	66
32	81	62
40	63	53
50	49	45
54	51	46
52	53	47
61	57	54
64	60	57
64	63	59
66	67	62
70	71	66
74	73	69
76	75	71
78	78	76
80	80	80
79	79	79
85	79	79
83	79	78
81	80	78
79	81	78
79	81	76
79	80	75
82	78	75
83	79	76
81	81	79
82	81	79
82	81	79
80	81	76
81	82	77
79	79	79
83	83	81
83	84	79
82	81	77
87	83	82
85	81	80
87	83	82
87	81	81
86	85	81
85	86	81
84	83	81
80	82	79
84	83	79
89	85	84
87	86	84
82	83	78
86	86	84
82	82	82
83	85	82
88	88	86
88	88	88
87	85	86
88	86	87
90	88	89
89	89	89
92	90	91
92	86	88
95	89	91
89	87	88
88	86	87
91	91	91
89	87	88
92	88	89
92	88	89
90	90	90
91	91	91
89	87	88
88	86	87
89	87	88
88	86	87
88	88	90
89	87	88
92	88	89
87	87	87
88	88	88
90	88	89
89	87	88
90	90	88
88	90	87
89	89	87
92	92	90
91	91	91
93	91	92
90	88	89
103	101	102
29	29	29
35	34	32
29	28	23
32	33	28
41	41	39
45	45	43
45	47	42
43	46	39
45	44	40
45	46	41
45	46	41
45	46	41
43	44	39
44	45	40
44	45	40
45	44	42
40	41	36
40	40	38
42	42	40
43	44	39
43	43	41
42	42	40
44	44	42
44	45	40
44	44	42
45	46	41
48	49	44
46	47	42
47	48	43
48	48	46
48	49	44
47	48	43
47	47	45
47	48	43
47	47	45
48	48	46
46	46	44
48	48	46
47	48	43
47	48	43
50	49	45
50	51	46
48	48	46
47	47	45
47	46	42
47	46	42
46	45	41
46	47	42
45	44	42
47	46	44
48	47	43
47	46	41
46	45	40
47	46	41
44	43	39
40	38	39
36	37	32
36	35	30
36	35	30
37	36	32
36	35	31
37	36	34
36	36	34
35	36	31
38	38	36
36	36	34
34	34	32
35	35	33
35	35	33
35	35	33
34	34	32
35	35	33
37	37	35
40	40	38
38	39	34
36	37	32
38	38	36
37	37	35
37	38	33
38	39	34
38	39	34
38	39	34
37	38	33
38	39	34
39	40	34
38	39	33
37	38	33
37	37	35
39	39	37
40	39	35
41	40	36
40	41	35
29	35	25
42	46	23
37	48	18
29	43	18
102	79	9
152	110	0
158	119	0
142	105	0
154	112	0
171	131	0
163	125	0
183	140	2
188	148	1
152	122	0
165	135	1
199	159	0
205	162	5
200	164	5
207	169	6
201	169	9
164	154	7
83	120	17
21	102	43
10	106	58
10	109	52
6	107	49
2	107	51
0	111	55
1	112	59
7	114	58
20	119	55
43	123	52
70	128	43
99	137	34
132	150	30
159	161	28
186	172	24
204	180	20
215	187	18
214	190	20
214	191	23
209	191	19
194	186	17
184	181	18
172	173	19
156	168	22
140	164	28
127	162	34
114	158	37
100	154	40
88	154	48
77	152	49
75	152	50
67	153	54
60	154	58
56	151	57
53	150	57
50	150	60
47	151	64
48	150	66
48	151	60
50	153	62
53	152	61
55	152	55
55	153	54
56	152	54
63	153	55
70	152	52
80	153	46
83	156	48
90	157	44
103	157	37
116	158	30
127	163	27
140	167	24
152	170	24
169	175	25
179	179	21
191	182	17
202	188	17
213	192	21
219	193	22
220	194	21
220	194	21
213	190	22
203	181	18
187	170	18
164	163	23
139	151	27
107	139	32
74	130	41
47	125	50
25	122	53
6	122	61
0	122	65
0	120	65
0	118	62
0	118	60
12	113	53
28	118	48
49	118	37
31	113	41
9	110	54
3	110	56
54	117	36
162	149	11
210	172	3
209	170	5
174	147	0
141	115	4
186	143	2
211	163	1
203	157	0
151	126	0
52	89	20
7	79	42
2	78	42
20	78	37
104	108	21
136	118	8
43	76	19
12	73	42
14	76	53
13	76	55
17	75	53
20	71	52
23	60	43
30	41	33
37	34	29
41	38	33
45	42	37
48	45	40
50	49	44
52	51	46
56	55	50
57	58	52
62	63	58
65	66	61
66	66	64
68	66	67
73	67	67
70	69	67
68	68	66
70	71	66
68	69	64
69	70	65
70	69	65
72	68	67
70	69	65
72	71	67
70	69	67
71	70	66
71	70	66
72	71	67
75	74	70
71	70	68
72	72	70
73	72	70
70	70	70
72	72	72
73	72	70
73	72	70
71	71	69
75	75	73
71	71	71
74	73	71
75	74	72
80	76	75
73	72	68
77	76	74
75	73	74
78	76	77
82	76	76
78	76	77
77	77	79
74	74	74
80	78	79
79	77	78
79	77	78
83	79	80
80	80	80
81	79	80
80	80	80
81	83	82
80	80	80
78	76	77
78	78	78
77	75	76
77	77	75
78	77	75
78	77	75
81	80	78
83	81	82
80	80	80
81	79	80
79	77	78
78	76	77
78	76	77
81	79	80
83	82	80
83	82	80
80	79	77
80	79	77
84	83	81
81	79	80
79	79	79
83	83	83
96	92	93
25	25	25
35	34	32
29	28	24
32	31	27
39	39	37
44	44	42
46	46	44
46	47	42
47	48	43
46	47	42
45	46	41
46	47	42
45	46	40
44	45	40
43	44	39
40	41	36
42	43	38
42	42	40
42	42	40
42	43	38
41	41	39
41	41	39
43	43	41
44	45	40
45	46	41
46	47	42
47	48	42
44	46	41
45	47	42
47	48	43
48	49	44
49	50	45
47	48	43
49	50	45
47	48	43
46	46	44
44	44	42
47	48	43
48	49	43
46	49	42
49	50	45
51	50	48
49	48	46
51	47	44
48	47	43
48	47	42
46	47	41
44	45	39
44	43	39
47	46	42
47	46	42
45	46	41
46	47	41
47	48	42
44	45	40
38	39	34
35	36	31
36	35	30
36	35	30
38	37	32
37	36	32
37	36	32
37	36	32
36	37	32
37	37	35
37	37	35
36	36	34
35	35	33
35	35	33
35	36	31
35	36	31
35	36	31
38	38	36
40	40	38
37	38	33
36	37	32
38	39	34
38	38	36
37	38	33
38	39	34
37	38	33
37	38	33
37	38	33
38	39	34
39	39	37
38	39	34
39	40	35
39	40	34
40	40	40
42	41	37
40	39	34
38	41	34
29	37	22
39	47	23
27	41	18
32	46	21
111	84	7
156	110	0
163	116	0
163	116	0
170	126	3
161	126	0
149	113	1
183	142	0
185	151	0
151	125	2
145	125	2
186	157	3
198	165	2
195	166	0
175	160	5
125	134	9
59	109	22
20	101	43
2	101	54
1	103	55
1	103	55
5	103	52
14	105	48
34	113	48
68	120	37
104	132	30
144	149	23
174	161	21
199	174	22
215	184	18
216	190	19
211	188	22
196	181	20
177	175	13
158	167	16
139	160	23
113	155	29
88	151	34
68	145	43
51	140	50
34	141	59
28	143	68
21	142	73
18	142	79
12	140	79
7	139	81
